
---- Run 2 ----

*********************** Overall Results ***********************
          Total instances: 300,000
            Total correct: 159,000
          Total incorrect: 141,000
                 Accuracy: 0,530
               Error Rate: 0,470
   Average Class Accuracy: 0,530
 Average Class Error Rate: 0,470

********************** Per Class Results **********************
Class	Class Accuracy	Class Error Rate	Actual Count	Predicted Count
    Office	0,750	0,250	20,000000	25,000000
   Highway	0,650	0,350	20,000000	18,000000
Insidecity	0,500	0,500	20,000000	18,000000
    Street	0,400	0,600	20,000000	17,000000
industrial	0,250	0,750	20,000000	12,000000
TallBuilding	0,500	0,500	20,000000	17,000000
     store	0,350	0,650	20,000000	17,000000
livingroom	0,350	0,650	20,000000	30,000000
   bedroom	0,350	0,650	20,000000	21,000000
  Mountain	0,450	0,550	20,000000	19,000000
   kitchen	0,250	0,750	20,000000	15,000000
OpenCountry	0,450	0,550	20,000000	17,000000
     Coast	0,900	0,100	20,000000	28,000000
    Forest	0,850	0,150	20,000000	19,000000
    Suburb	0,950	0,050	20,000000	27,000000


